ticker,long_name,short_name,sector,short_alias
WIPRO.NS,Wipro Limited,WIPRO LTD,Technology,Wipro
TECHM.NS,Tech Mahindra Limited,TECH MAHINDRA LIMITED,Technology,Tech Mahindra
OBEROIRLTY.NS,Oberoi Realty Limited,OBEROI REALTY LIMITED,Real Estate,Oberoi Realty
LODHA.NS,Lodha Developers Limited,LODHA DEVELOPERS LIMITED,Real Estate,Lodha Developers
PHOENIXLTD.NS,The Phoenix Mills Limited,THE PHOENIX MILLS LTD,Real Estate,Phoenix Mills
INDHOTEL.NS,The Indian Hotels Company Limited,THE INDIAN HOTELS CO. LTD,Consumer Cyclical,Indian Hotels
MAXHEALTH.NS,Max Healthcare Institute Limited,MAX HEALTHCARE INS LTD,Healthcare,Max Healthcare Institute
LUPIN.NS,Lupin Limited,LUPIN LIMITED,Healthcare,Lupin
AUROPHARMA.NS,Aurobindo Pharma Limited,AUROBINDO PHARMA LTD,Healthcare,Aurobindo Pharma
ALKEM.NS,Alkem Laboratories Limited,ALKEM LABORATORIES LTD.,Healthcare,Alkem Laboratories
TATAPOWER.NS,The Tata Power Company Limited,TATA POWER CO LTD,Utilities,Tata Power
AAPL,Apple Inc.,Apple Inc.,Technology,Apple
ABNB,"Airbnb, Inc.","Airbnb, Inc.",Consumer Cyclical,Airbnb
ADBE,Adobe Inc.,Adobe Inc.,Technology,Adobe
ADI,"Analog Devices, Inc.","Analog Devices, Inc.",Technology,Analog Devices
ADP,"Automatic Data Processing, Inc.","Automatic Data Processing, Inc.",Technology,Automatic Data Processing
ADSK,"Autodesk, Inc.","Autodesk, Inc.",Technology,Autodesk
AEP,"American Electric Power Company, Inc.",American Electric Power Company,Utilities,American Electric Power 
AMAT,"Applied Materials, Inc.","Applied Materials, Inc.",Technology,Applied Materials
AMD,"Advanced Micro Devices, Inc.","Advanced Micro Devices, Inc.",Technology,Advanced Micro Devices
AMGN,Amgen Inc.,Amgen Inc.,Healthcare,Amgen
AMZN,"Amazon.com, Inc.","Amazon.com, Inc.",Consumer Cyclical,Amazon.com
APP,AppLovin Corporation,Applovin Corporation,Communication Services,AppLovin
ARM,Arm Holdings plc,Arm Holdings plc,Technology,Arm Holdings
ASML,ASML Holding N.V.,ASML Holding N.V. - New York Re,Technology,ASML
AVGO,Broadcom Inc.,Broadcom Inc.,Technology,Broadcom
AZN,AstraZeneca PLC,AstraZeneca PLC,Healthcare,AstraZeneca
BLD,TopBuild Corp.,TopBuild Corp.,Industrials,TopBuild
BIIB,Biogen Inc.,Biogen Inc.,Healthcare,Biogen
BKNG,Booking Holdings Inc.,Booking Holdings Inc. Common St,Consumer Cyclical,Booking Holdings
BKR,Baker Hughes Company,Baker Hughes Company,Energy,Baker Hughes
CDNS,"Cadence Design Systems, Inc.","Cadence Design Systems, Inc.",Technology,Cadence Design Systems
CDW,CDW Corporation,CDW Corporation,Technology,CDW
CEG,Constellation Energy Corporation,Constellation Energy Corporatio,Utilities,Constellation Energy
CHTR,"Charter Communications, Inc.","Charter Communications, Inc.",Communication Services,Charter Communications
CPRT,"Copart, Inc.","Copart, Inc.",Industrials,Copart
CRWD,"CrowdStrike Holdings, Inc.","CrowdStrike Holdings, Inc.",Technology,CrowdStrike Holdings
CSCO,"Cisco Systems, Inc.","Cisco Systems, Inc.",Technology,Cisco Systems
CSX,CSX Corporation,CSX Corporation,Industrials,CSX
CTAS,Cintas Corporation,Cintas Corporation,Industrials,Cintas
CTSH,Cognizant Technology Solutions Corporation,Cognizant Technology Solutions ,Technology,Cognizant Technology Solutions
DASH,"DoorDash, Inc.","DoorDash, Inc.",Consumer Cyclical,DoorDash
DDOG,"Datadog, Inc.","Datadog, Inc.",Technology,Datadog
DXCM,"DexCom, Inc.","DexCom, Inc.",Healthcare,DexCom
EA,Electronic Arts Inc.,Electronic Arts Inc.,Communication Services,Electronic Arts
EXC,Exelon Corporation,Exelon Corporation,Utilities,Exelon
FAST,Fastenal Company,Fastenal Company,Industrials,Fastenal
FTV,Fortive Corporation,Fortive Corporation,Technology,Fortive
GEHC,GE HealthCare Technologies Inc.,GE HealthCare Technologies Inc.,Healthcare,GE HealthCare Technologies
GILD,"Gilead Sciences, Inc.","Gilead Sciences, Inc.",Healthcare,Gilead Sciences
GOOG,Alphabet Inc.,Alphabet Inc.,Communication Services,Alphabet
GOOGL,Alphabet Inc.,Alphabet Inc.,Communication Services,Alphabet
HON,Honeywell International Inc.,Honeywell International Inc.,Industrials,Honeywell International
IDXX,"IDEXX Laboratories, Inc.","IDEXX Laboratories, Inc.",Healthcare,IDEXX Laboratories
ILMN,"Illumina, Inc.","Illumina, Inc.",Healthcare,Illumina
INTC,Intel Corporation,Intel Corporation,Technology,Intel
INTU,Intuit Inc.,Intuit Inc.,Technology,Intuit
ISRG,"Intuitive Surgical, Inc.","Intuitive Surgical, Inc.",Healthcare,Intuitive Surgical
KDP,Keurig Dr Pepper Inc.,Keurig Dr Pepper Inc.,Consumer Defensive,Keurig Dr Pepper
KHC,The Kraft Heinz Company,The Kraft Heinz Company,Consumer Defensive,The Kraft Heinz
KLAC,KLA Corporation,KLA Corporation,Technology,KLA
LRCX,Lam Research Corporation,Lam Research Corporation,Technology,Lam Research
LULU,lululemon athletica inc.,lululemon athletica inc.,Consumer Cyclical,lululemon athletica
MAR,"Marriott International, Inc.",Marriott International,Consumer Cyclical,Marriott International
MCHP,Microchip Technology Incorporated,Microchip Technology Incorporat,Technology,Microchip Technology
MDLZ,"Mondelez International, Inc.","Mondelez International, Inc.",Consumer Defensive,Mondelez International
MELI,"MercadoLibre, Inc.","MercadoLibre, Inc.",Consumer Cyclical,MercadoLibre
META,"Meta Platforms, Inc.","Meta Platforms, Inc.",Communication Services,Meta Platforms
MNST,Monster Beverage Corporation,Monster Beverage Corporation,Consumer Defensive,Monster Beverage
MPWR,"Monolithic Power Systems, Inc.","Monolithic Power Systems, Inc.",Technology,Monolithic Power Systems
MRVL,"Marvell Technology, Inc.","Marvell Technology, Inc.",Technology,Marvell Technology
MSFT,Microsoft Corporation,Microsoft Corporation,Technology,Microsoft
MSTR,Strategy Inc,Strategy Inc,Technology,
MU,"Micron Technology, Inc.","Micron Technology, Inc.",Technology,Micron Technology
NFLX,"Netflix, Inc.","Netflix, Inc.",Communication Services,Netflix
NVDA,NVIDIA Corporation,NVIDIA Corporation,Technology,NVIDIA
NXPI,NXP Semiconductors N.V.,NXP Semiconductors N.V.,Technology,NXP Semiconductors
ODFL,"Old Dominion Freight Line, Inc.","Old Dominion Freight Line, Inc.",Industrials,Old Dominion Freight Line
ORLY,"O'Reilly Automotive, Inc.","O'Reilly Automotive, Inc.",Consumer Cyclical,O'Reilly Automotive
PANW,"Palo Alto Networks, Inc.","Palo Alto Networks, Inc.",Technology,Palo Alto Networks
PAYX,"Paychex, Inc.","Paychex, Inc.",Technology,Paychex
PCAR,PACCAR Inc,PACCAR Inc.,Industrials,PACCAR
PDD,PDD Holdings Inc.,PDD Holdings Inc.,Consumer Cyclical,PDD Holdings
PEP,"PepsiCo, Inc.","Pepsico, Inc.",Consumer Defensive,PepsiCo
PLTR,Palantir Technologies Inc.,Palantir Technologies Inc.,Technology,Palantir Technologies
PYPL,"PayPal Holdings, Inc.","PayPal Holdings, Inc.",Financial Services,PayPal Holdings
QCOM,QUALCOMM Incorporated,QUALCOMM Incorporated,Technology,QUALCOMM
REGN,"Regeneron Pharmaceuticals, Inc.","Regeneron Pharmaceuticals, Inc.",Healthcare,Regeneron Pharmaceuticals
ROP,"Roper Technologies, Inc.","Roper Technologies, Inc.",Technology,Roper Technologies
ROST,"Ross Stores, Inc.","Ross Stores, Inc.",Consumer Cyclical,Ross Stores
SBUX,Starbucks Corporation,Starbucks Corporation,Consumer Cyclical,Starbucks
SHOP,Shopify Inc.,Shopify Inc.,Technology,Shopify
SNPS,"Synopsys, Inc.","Synopsys, Inc.",Technology,Synopsys
STX,Seagate Technology Holdings plc,Seagate Technology Holdings PLC,Technology,Seagate Technology
TEAM,Atlassian Corporation,Atlassian Corporation,Technology,Atlassian
TMUS,"T-Mobile US, Inc.","T-Mobile US, Inc.",Communication Services,T-Mobile US
TRI,Thomson Reuters Corporation,Thomson Reuters Corp,Industrials,Thomson Reuters
TSLA,"Tesla, Inc.","Tesla, Inc.",Consumer Cyclical,Tesla
TTWO,"Take-Two Interactive Software, Inc.","Take-Two Interactive Software, ",Communication Services,Take-Two Interactive Software
TXN,Texas Instruments Incorporated,Texas Instruments Incorporated,Technology,Texas Instruments
VRSK,"Verisk Analytics, Inc.","Verisk Analytics, Inc.",Industrials,Verisk Analytics
VRTX,Vertex Pharmaceuticals Incorporated,Vertex Pharmaceuticals Incorpor,Healthcare,Vertex Pharmaceuticals
WBD,"Warner Bros. Discovery, Inc.","Warner Bros. Discovery, Inc. - ",Communication Services,Warner Bros. Discovery
WDAY,"Workday, Inc.","Workday, Inc.",Technology,Workday
WDC,Western Digital Corporation,Western Digital Corporation,Technology,Western Digital
WEC,"WEC Energy Group, Inc.","WEC Energy Group, Inc.",Utilities,WEC Energy Group
WMT,Walmart Inc.,Walmart Inc.,Consumer Defensive,Walmart
